app_id,car_run_km,engine_volume,prod_year,cylinders,airbags
108687133,55600,2000,2021,4,6
108608289,42500,2000,2019,4,6
106961361,38000,4400,2023,8,9
107494885,49600,2000,2016,4,6
108126733,20200,3200,2021,4,12
108901093,42000,3000,2022,6,12
109202833,117000,2500,2018,6,8
108354833,29478,2000,2021,4,12
109239949,110000,3400,2022,8,12
107758541,97100,2000,2018,4,12
109204433,6700,4400,2022,8,8
108806101,45000,2500,2021,4,9
109325601,59242,4400,2021,8,12
109329317,230000,1600,2014,4,12
109216217,200000,3000,2015,6,12
106834953,36800,2000,2018,7,12
108885441,29500,1600,2020,4,4
108735521,255000,3600,2015,6,9
109347837,181600,2000,2017,12,12
109249273,155000,3500,2014,6,9
108856309,105000,2000,2018,4,10
109366345,22400,2500,2021,4,9
109394749,104000,3000,2019,6,12
108541421,120271,3000,2016,6,12
108153033,259000,3000,2009,6,2
109211085,106000,3000,2018,6,12
109035365,109000,3600,2015,6,10
107732513,151000,1600,2015,4,10
107495969,45920,3000,2021,6,9
107898241,185600,2000,2016,4,12
109406021,107200,2000,2018,4,6
109407889,41000,3000,2017,6,9
107658733,84800,2000,2020,4,12
108532345,32000,1500,2021,6,10
109199429,111111,1800,2012,4,9
108835245,147496,2000,2009,4,2
107683353,114336,2000,2020,4,12
108690973,41549,2000,2022,4,12
109424993,18500,3000,2020,6,12
109425537,90000,3200,2013,6,6
109428785,120000,2000,2014,4,12
108763465,105000,2000,2017,4,8
109438205,130000,2000,2019,4,9
108758173,244800,1400,2011,4,9
109443629,87000,2000,2017,4,9
109445701,52000,3500,2021,6,10
109446201,86500,3000,2017,6,6
107597053,184000,3000,2017,6,12
101449147,28000,1600,2016,4,10
109453785,137600,2000,2017,6,8
108363873,12000,3500,2022,8,12
109108969,139200,2000,2014,4,12
108626501,37000,50,2020,1,12
109459721,79225,2500,2018,6,8
99779078,98000,2000,2020,4,9
109363345,352000,2000,2015,6,4
108864005,6000,3000,2024,6,9
109467293,98000,4500,2019,8,12
109343173,71000,1500,2018,4,9
109471973,50,1500,2024,4,12
109213993,135000,1500,2020,4,10
108767849,288000,1500,2014,4,8
109483581,102000,4400,2013,8,9
109484905,210000,3500,2012,6,12
108596509,105000,4500,2015,8,10
108792721,26000,2000,2021,4,12
108792833,112000,2200,2017,4,12
108793053,135000,1800,2008,4,12
109333037,75200,2000,2021,6,9
109497193,44800,4400,2021,8,9
109500005,60800,100,2019,1,12
106667789,57600,2000,2017,4,12
109234573,50000,2000,2017,4,12
108470449,14000,2400,2023,4,9
108375157,32000,4000,2020,8,8
108886573,147000,3500,2015,6,12
108500245,180000,4400,2007,8,12
108881725,78000,3000,2013,6,12
109505825,190000,1800,2014,4,12
109506601,20000,4000,2023,8,9
109507201,40000,2000,2022,4,8
105113405,48685,100,2019,1,12
109512381,237000,3000,2012,6,12
109513585,70000,4600,2019,8,12
108679609,220000,3500,2011,6,4
109517445,104000,1500,2017,4,2
109520345,200000,0,2013,0,9
109521709,138080,4700,2016,8,9
109528309,94000,6000,1996,12,12
109529641,100000,3000,2017,6,12
109081849,80000,4000,2017,8,12
109532477,4000,4000,2024,8,9
108752153,173600,2000,2014,6,12
109540129,111875,2000,2015,4,9
108760325,4000,5000,2022,7,12
108759613,3987,5000,2022,7,12
108757897,3152,50,2022,1,0
109492125,143000,2000,2014,4,8
109518097,173000,3000,2015,6,9
109548201,35864,3000,2019,6,9
109548349,87000,2300,2015,4,9
108908301,228800,5500,2013,8,9
108878537,74000,4300,2015,8,12
109551893,250000,3200,2010,6,9
109172061,131000,3000,2014,6,6
109553285,120000,4400,2017,8,12
109553197,115000,2200,2015,8,12
109553449,278400,5600,2013,8,8
109553581,45000,3300,2019,6,12
109553841,185000,2000,2012,4,8
109342953,180000,4400,2016,8,12
109230869,56000,3000,2020,6,8
109554233,45000,3600,2018,6,12
108742209,0,3300,2024,8,12
104029019,235000,3500,2012,6,12
107937397,241937,2000,2016,6,12
108549305,2000,2200,2024,6,12
109553989,73000,100,2019,1,8
109034197,35000,2000,2021,4,12
109557509,49600,2000,2022,4,6
108804465,130000,2700,2018,6,9
108537525,27200,1500,2017,3,8
109559601,48000,2500,2021,6,12
108663433,139000,3500,2012,6,12
109187613,173000,2000,2015,4,9
109328985,139200,3600,2018,6,12
108358933,220000,1600,2016,4,12
109553633,51000,5000,2017,8,12
108824269,104000,2500,2019,4,12
109567157,159200,3500,2015,6,9
109567541,64598,2500,2018,4,8
107981441,98000,4000,2016,6,9
109326053,27000,3000,2023,6,12
109573513,80,3300,2024,6,12
109573237,280000,3500,2013,6,12
108093085,119000,2200,2016,4,9
109577029,128000,2500,2019,4,12
109577041,117120,1600,2017,4,6
109577645,108000,3300,2022,6,10
109577573,225000,3000,2012,6,12
108540373,110000,2000,2018,4,12
109161869,60000,2000,2021,4,9
109259121,1200,3000,2023,6,12
109106029,142000,2200,2014,6,12
109586457,35000,2400,2022,4,10
109586885,174000,2200,2015,4,9
109586981,48000,1600,2020,4,10
109587237,341035,1800,2010,4,8
109587433,45000,4400,2020,8,12
109587597,43500,2000,2020,4,12
109564433,78400,4600,2018,6,12
109555881,114000,2000,2014,4,12
109554057,18800,4000,2022,8,9
109228937,109800,4000,2018,6,8
109588309,160000,2200,2020,6,12
109588325,50000,3500,2009,6,12
108094409,68000,3000,2015,6,8
108867437,101575,3500,2017,6,8
108850729,201600,2000,2013,4,5
106882565,41000,2000,2019,4,9
109478037,116800,1500,2018,4,8
108852577,0,4000,2024,8,12
109198269,76000,2000,2018,4,12
109156257,160000,3000,2015,6,9
109588705,0,3000,2002,6,9
109560365,109000,50,2013,1,2
109224857,112800,4500,2013,8,9
108132157,81000,2300,2016,4,8
109421017,100000,3500,2016,6,9
109588921,224000,2500,2017,4,10
109588937,850000,2000,2017,4,12
109329309,266475,3500,2010,6,9
109466021,65000,3500,2020,6,12
109096149,40000,4400,2013,8,8
109189925,46956,1500,2021,3,8
109230605,130000,4700,2015,8,12
105022121,75000,2000,2017,4,12
105436045,40000,1800,2014,4,2
106503869,111111,4600,2015,8,12
107805117,12500,4000,2023,8,12
108466225,65500,4000,2019,8,12
108668073,136000,2000,2014,4,8
109550537,163397,3000,2015,6,8
109588949,14000,0,2023,0,9
106605357,109000,3000,2017,6,9
109159697,74000,3000,2015,6,8
109546917,160000,2000,2014,4,6
109588953,10080,3000,2018,6,12
108374365,98000,2900,2018,6,12
109034937,148800,1500,2020,4,9
109109909,200000,2500,2006,6,8
109322305,43000,2000,2017,4,12
109431021,90000,2000,2016,4,9
107017513,1650,2500,2023,4,10
109589473,72800,2000,2019,8,12
108015377,46400,2500,2021,4,12
109277725,20000,2400,2022,4,9
108357861,119595,2400,2017,4,9
108888617,78000,2900,2019,6,9
106702521,9900,4400,2022,8,9
107568253,7900,4000,2023,8,9
108547473,0,2500,2024,4,9
108796721,0,3300,2024,6,9
108817549,0,3500,2024,6,9
109214789,0,3000,2024,6,12
109216137,0,3500,2022,6,12
109471461,0,2500,2022,4,9
109506041,0,3300,2024,6,12
106935849,5600,2500,2022,4,12
108953493,230000,1800,2011,4,10
109589701,158000,3000,2017,6,12
108743289,200000,2500,2004,4,4
109589745,195000,1500,2014,4,8
109505933,144000,2000,2014,4,12
109267181,371200,2000,2016,4,9
108782697,94000,4000,2015,8,9
109212565,175400,2400,2008,4,10
108727437,192000,2500,2014,8,8
108906981,164000,3500,2017,6,12
109277181,72000,4400,2013,8,12
109403701,40000,3000,2023,6,10
107703849,151288,2000,2017,4,9
108493673,118000,2400,2014,4,9
108634677,64000,1600,2021,6,9
104029263,65000,2500,2021,4,9
109318049,33600,100,2020,4,8
108099345,250000,3300,2000,6,6
108678189,177440,2500,2014,4,9
107527957,214400,2500,2015,4,10
109590093,126400,2500,2017,4,9
109157537,27000,3500,2020,8,12
109589953,110000,2300,2007,4,8
109520113,98500,2000,2020,4,10
109513721,17000,5000,2022,8,12
109267693,152000,2500,2013,4,9
108720513,117000,6200,2015,8,9
109514509,177000,1500,2014,4,4
109161649,81000,2400,2017,4,8
109146909,81600,3000,2014,6,12
107824289,13200,3500,2018,6,9
108615421,24000,50,2021,1,12
109590345,178000,1400,2015,4,10
109505537,160000,2500,2014,6,6
108878597,147000,3000,2016,6,9
109495885,1000,3200,2007,6,12
109590417,212800,3500,2012,6,10
109419109,0,3500,2023,6,9
109403565,0,3000,2024,6,9
109325069,0,3300,2024,6,9
107981989,62000,1400,2019,4,9
109497361,56000,2500,2021,4,11
109449505,112000,3000,2019,6,10
109589553,163000,3000,2015,6,12
109590153,69556,2000,2016,12,12
109333921,94000,2000,2018,4,8
109231817,67213,3000,2021,6,10
108933765,85600,2400,2017,4,9
109470529,112000,2200,2017,4,9
109590693,180000,2000,2013,4,9
109590765,52000,1400,2017,4,6
109590805,120000,2000,2016,4,10
109590837,110000,3700,2014,6,12
103172191,93629,2500,2020,4,12
107433969,78900,3000,2017,6,9
109588073,11111,3600,2016,6,12
109591061,200000,2500,2019,4,8
109138341,92800,3000,2017,6,12
108885357,30500,1600,2021,4,10
107043105,21400,4000,2022,8,12
109564917,184000,2000,2016,4,8
109559713,256000,1600,2011,4,12
109591377,138560,2000,2015,4,4
107685957,150000,2500,2017,4,6
109142761,142000,2500,2013,4,9
109591653,63000,1400,2017,4,4
107397849,18880,2500,2021,4,12
109082381,70000,2000,2018,4,9
109592113,140800,2400,2020,4,9
108677617,85000,4400,2021,8,9
109592097,83200,2000,2019,4,12
109090213,20160,1600,2022,4,12
109591697,143000,4400,2014,8,10
109581609,217600,1600,2012,4,9
109338525,40000,2000,2019,4,2
109592117,760000,2500,2018,4,12
109592397,180000,2800,1993,6,2
109421689,186250,1400,2009,4,4
108871437,111000,3600,2017,6,6
109352189,43000,100,2020,1,12
109592437,99200,1600,2017,4,12
108887729,47000,2500,2020,4,12
109590169,58000,2000,2015,4,12
108453857,155000,2000,2016,4,12
109592933,225600,3000,2014,6,12
109561001,116000,2000,2018,4,10
109593173,137600,2500,2020,4,6
109589817,240000,3500,2014,6,9
109316261,124724,1800,2014,4,6
109593013,202000,3500,2012,6,12
109593277,87000,3500,2013,6,9
109593265,83000,3000,2016,6,9
109449585,60000,3000,2020,6,10
109333125,57500,1500,2016,4,9
109593473,200000,2000,2003,4,4
107439617,124000,3000,2016,6,9
105649525,72000,2000,2018,4,9
109593489,20000,2400,2020,4,6
109345429,133722,3500,2017,6,12
109496113,215000,3500,2012,6,12
109111569,136000,4700,2015,8,9
109593697,150000,2500,2015,6,6
108576081,183500,3000,2016,6,12
109394801,176000,3000,2014,6,12
109184537,164000,2500,2016,4,8
108545033,284635,3000,2012,6,9
109594229,1900,3500,2024,6,12
106716749,47000,4000,2022,8,12
109045929,56000,3500,2018,9,12
108095545,92960,2500,2021,4,7
108246197,27000,2300,2019,4,6
109439381,210000,3600,2011,6,12
109594517,184000,2500,2008,4,4
108493793,1200,3500,2022,6,10
109404493,120000,2000,2016,4,12
108959737,298000,4400,2004,8,9
109594897,46000,3000,2020,6,9
109594977,224000,1800,2015,4,9
108885009,150469,1500,2013,4,6
108885181,126734,2400,2014,6,8
108885317,131503,2400,2013,8,8
109595061,214000,2000,2017,4,8
109323941,171200,2000,2018,4,12
109594957,112000,1800,2020,4,9
109327909,37000,2500,2021,4,10
109595301,88000,1400,2015,4,12
108814865,130000,1800,2018,4,9
109574085,52314,2000,2020,4,12
105344117,105874,2000,2015,4,9
105357433,208000,2000,2015,4,9
109277597,185000,5500,2013,8,12
108335909,47420,2000,2018,8,12
109595641,196800,3000,2013,6,8
108137629,110000,3000,2015,6,9
108791001,122000,2500,2013,4,12
109595865,317000,3000,2011,6,12
109589057,300000,3000,2006,6,9
109595985,167136,1500,2013,4,9
109418141,130000,2000,2018,4,12
109243765,196000,1600,2004,4,4
108660561,225600,2000,2015,4,8
109406457,50000,2500,2021,6,12
109446777,88000,3000,2014,6,12
109551429,107200,2000,2018,4,9
108590065,168000,3000,2015,6,9
108859237,266429,2200,2012,4,6
109317141,149000,1800,2014,4,10
109592217,123200,2400,2014,4,12
107196521,9900,2000,2022,4,4
108766977,80000,3000,2017,6,12
109521425,125000,1600,2016,4,12
109596781,40000,1600,2015,4,12
109589437,82000,2000,2016,4,8
109522117,105000,2000,2018,4,9
109449809,165000,3000,2015,6,8
109597125,177000,3500,2014,6,10
109596477,114000,1500,2016,4,8
107960269,208000,100,2015,1,12
108869457,87000,2500,2014,4,12
109541209,140000,3000,2013,6,9
109597221,160104,2000,2017,5,8
109597393,150000,3500,2015,6,12
109597425,43700,3000,2019,6,10
109495341,3500,2500,2023,4,12
109596785,94000,2000,2013,4,9
106934569,62400,4000,2019,6,12
109589881,167000,2500,2013,4,9
107001313,118000,5000,2018,8,9
109328937,120000,3500,2017,6,8
109349557,163200,3000,2016,6,10
109330033,125000,3500,2018,6,12
109100929,75379,4600,2016,8,12
109587713,224000,2400,2011,4,12
109102253,80000,3000,2017,6,12
109597745,117920,1800,2015,4,8
109597773,79000,2000,2018,4,12
109597833,109000,2500,2013,4,12
107749913,70000,4400,2019,8,8
109595841,49346,2000,2019,4,12
109555921,11000,3000,2021,6,9
107625153,140000,4400,2014,8,9
109598069,183000,2000,2014,4,8
108237877,0,4000,2024,8,11
108132285,42000,3000,2019,6,12
109582353,108261,3000,2017,6,12
109583017,128516,4700,2016,6,12
109510285,103000,1500,2010,4,8
109405709,47000,2500,2019,6,8
109101601,76800,4000,2019,6,10
109598785,136000,1500,2016,4,8
109423049,147000,1300,2014,4,8
109598705,158000,1000,2012,3,9
108921861,90123,2500,2014,4,9
109328061,124800,2000,2021,4,9
109335401,61000,2000,2018,4,12
109205909,88000,50,2020,1,12
109203285,197821,3500,2011,6,9
108634281,139200,2500,2016,6,9
108858189,70000,3500,2015,6,12
108895477,120000,2000,2019,4,12
108992117,112000,2200,2018,4,12
108992141,110000,1600,2017,4,12
109416437,160000,2000,2015,4,12
109569313,320000,2000,2014,6,6
109589213,198000,3000,2014,4,12
109341937,11000,100,2017,1,8
109599989,44000,2000,2023,4,12
109599985,250000,4000,2008,6,10
109596917,192000,3600,2017,6,9
107213953,122000,3000,2016,6,9
109384933,11000,2000,2023,4,12
108891625,45000,4000,2021,8,9
108893301,39000,3000,2021,6,9
108995913,4500,4400,2023,8,12
109028437,70000,2000,2019,4,9
109162441,208000,4000,2008,6,2
109292173,285000,3500,2015,6,12
109304081,1000,100,2022,1,12
109330325,18289,2200,2014,4,4
106402313,140000,2000,2018,4,9
106842293,231200,3500,2012,6,9
106815745,150,1500,2024,4,9
98620066,107000,5500,2012,8,9
98620886,95000,5500,2015,8,9
106404801,63000,3000,2021,6,9
109014217,97000,2500,2014,4,8
109318133,186500,2500,2008,5,4
108312133,240000,3000,2014,6,9
108793125,500000,1900,2008,4,4
108520061,100000,3600,2017,6,9
109177233,26000,2000,2020,4,9
109177533,138000,3500,2014,4,9
108811181,99419,2000,2021,4,9
109369637,155000,1500,2014,4,4
109377709,167000,4000,2012,6,10
109381169,15360,2400,2012,4,1
109384237,75000,2000,2016,4,4
109381809,113600,2000,2016,4,9
107352421,160000,2000,2015,4,2
109401125,0,3000,2024,6,12
109403089,239000,3000,2008,6,6
109404021,230400,2000,2013,4,9
109404441,90000,3000,2016,6,12
108942081,77754,2000,2020,4,9
108820965,9500,4000,2020,8,12
109412325,118400,2400,2014,4,12
109149113,45000,7000,1972,8,12
108797657,80000,2300,2020,4,10
107024261,80000,2300,2019,4,9
108253569,11200,2500,2022,4,9
107634441,44800,2500,2021,4,9
109425469,128000,3500,2021,6,9
109448741,215000,2000,2014,4,12
109449293,95000,1500,2016,4,8
109150193,64000,2000,2020,4,12
109449801,300000,1900,2000,4,4
109171641,70000,3000,2022,6,9
109238629,100000,300,2022,6,9
108841093,91200,2400,2017,4,10
109499669,184000,3000,2019,6,9
109502525,81000,2000,2020,4,9
109502693,285000,2700,2002,5,6
108816393,67000,13000,2021,12,12
108665713,141000,2000,2019,4,9
109504573,180000,5000,2014,6,6
108826209,145000,1500,2015,4,5
109393653,97000,2500,2016,4,12
107920101,190000,2200,2015,4,9
108778849,75000,2500,2019,4,10
109531685,91800,3000,2015,4,9
107476125,87000,3800,2016,6,9
109535169,121000,3500,2013,4,4
109324109,190000,3500,2014,6,12
108607505,80000,1400,2019,4,10
106610473,224000,3000,2015,6,6
109545297,145000,2000,2014,6,12
109237829,234000,2000,2013,4,8
109341893,161913,1800,2012,4,9
108730137,262400,2000,2014,4,9
109246265,117964,3000,2019,6,9
108639169,248032,4300,2005,8,10
109504277,156181,2000,2015,4,6
109419597,225000,1800,2015,4,5
109344325,220000,1600,2014,4,7
109548333,237086,4200,2014,4,2
109323913,116000,1400,2016,4,12
109271233,148696,3500,2013,8,9
109346825,134000,2500,2014,4,8
109447469,0,3300,2024,6,12
109447597,0,3500,2024,6,12
109037717,0,3300,2024,6,12
108808141,80000,2000,2015,4,9
108944709,16000,2400,2023,6,9
109555809,230000,3600,2014,6,9
109556165,153600,2000,2019,4,10
108856853,27000,1400,2021,4,9
109327613,181000,2500,2008,4,9
108860681,55509,2500,2020,4,12
109539937,109600,1400,2016,4,6
109446969,82500,1800,2014,4,9
109559145,235000,2500,2015,4,11
109559241,58000,2000,2020,6,12
109560745,176000,2400,2013,8,8
109277009,100000,1500,2018,4,9
109532337,157500,1600,2013,4,6
108885705,89000,2000,2017,4,9
109565829,95000,2500,2021,4,12
109567581,22000,2500,2019,4,10
108176293,8000,50,2022,1,12
107951945,62500,2400,2019,4,12
107848417,192000,2400,2014,6,6
107838525,300000,3000,2009,6,10
107681205,48000,2500,2019,6,12
107662481,95000,2200,2019,6,10
107491829,185000,2500,2019,4,12
107458885,120000,1800,2017,6,12
107190413,202000,3000,2017,6,12
108644657,96000,3500,2017,6,9
109574489,150000,3500,2017,6,9
109576713,84500,3000,2013,6,8
