id,man_id,model_name,is_car,is_moto,is_spec
590,25,A 140,True,False,False
591,25,A 150,True,False,False
592,25,A 160,True,False,False
593,25,A 170,True,False,False
594,25,A 180,True,False,False
595,25,A 190,True,False,False
596,25,A 200,True,False,False
597,25,A 210,True,False,False
1801,25,A 220,True,False,False
1802,25,A 250,True,False,False
1803,25,A 45 AMG,True,False,False
2167,25,Actros,False,False,True
13291,25,AMG 53,True,False,False
1804,25,AMG GT,True,False,False
17813,25,AMG GT 53,True,False,False
4858,25,AMG GT C,True,False,False
4859,25,AMG GT R,True,False,False
1805,25,AMG GT S,True,False,False
18289,25,Andecar,False,False,True
6012,25,Antos,False,False,True
6011,25,Arocs,False,False,True
2225,25,Atego,False,False,True
6014,25,Axor,False,False,True
598,25,B 150,True,False,False
599,25,B 170,True,False,False
600,25,B 180,True,False,False
601,25,B 200,True,False,False
1806,25,B 220,True,False,False
1807,25,B 250,True,False,False
1808,25,B Electric Drive,True,False,False
607,25,C 160,True,False,False
608,25,C 180,True,False,False
609,25,C 200,True,False,False
12503,25,C 202,True,False,False
610,25,C 220,True,False,False
611,25,C 230,True,False,False
612,25,C 240,True,False,False
613,25,C 250,True,False,False
614,25,C 270,True,False,False
615,25,C 280,True,False,False
602,25,C 30 AMG,True,False,False
1591,25,C 300,True,False,False
603,25,C 32 AMG,True,False,False
616,25,C 320,True,False,False
617,25,C 350,True,False,False
604,25,C 36 AMG,True,False,False
1757,25,C 400,True,False,False
605,25,C 43 AMG,True,False,False
1809,25,C 450 AMG,True,False,False
606,25,C 55 AMG,True,False,False
1630,25,C 63 AMG,True,False,False
4342,25,Citan 108,True,False,False
9846,25,Citan 109,True,False,False
9850,25,Citan 110,True,False,False
9854,25,Citan 111,True,False,False
9858,25,Citan 112,True,False,False
9862,25,Citan 113,True,False,False
620,25,CL 180,True,False,False
621,25,CL 200,True,False,False
622,25,CL 220,True,False,False
623,25,CL 230,True,False,False
1810,25,CL 320,True,False,False
624,25,CL 420,True,False,False
625,25,CL 500,True,False,False
618,25,CL 55 AMG,True,False,False
1755,25,CL 550,True,False,False
626,25,CL 600,True,False,False
1811,25,CL 63 AMG,True,False,False
619,25,CL 65 AMG,True,False,False
1812,25,CLA 180,True,False,False
1813,25,CLA 200,True,False,False
1814,25,CLA 250,True,False,False
1758,25,CLA 45 AMG,True,False,False
9822,25,CLC 160,True,False,False
9826,25,CLC 180,True,False,False
9830,25,CLC 200,True,False,False
9834,25,CLC 220,True,False,False
9838,25,CLC 230,True,False,False
9842,25,CLC 350,True,False,False
17881,25,CLE 200,True,False,False
17885,25,CLE 300 ,True,False,False
17889,25,CLE 450,True,False,False
629,25,CLK 200,True,False,False
630,25,CLK 220,True,False,False
631,25,CLK 230,True,False,False
632,25,CLK 240,True,False,False
633,25,CLK 270,True,False,False
634,25,CLK 280,True,False,False
635,25,CLK 320,True,False,False
636,25,CLK 350,True,False,False
637,25,CLK 430,True,False,False
638,25,CLK 500,True,False,False
627,25,CLK 55 AMG,True,False,False
4939,25,CLK 550,True,False,False
628,25,CLK 63 AMG,True,False,False
641,25,CLS 320,True,False,False
642,25,CLS 350,True,False,False
17781,25,CLS 400,True,False,False
2367,25,CLS 450,True,False,False
643,25,CLS 500,True,False,False
9235,25,CLS 53 AMG,True,False,False
639,25,CLS 55 AMG,True,False,False
1589,25,CLS 550,True,False,False
640,25,CLS 63 AMG,True,False,False
7393,25,CLS 65,True,False,False
7236,25,E 190,True,False,False
649,25,E 200,True,False,False
8561,25,E 210,True,False,False
17845,25,E 212,True,False,False
650,25,E 220,True,False,False
651,25,E 230,True,False,False
652,25,E 240,True,False,False
653,25,E 250,True,False,False
654,25,E 260,True,False,False
655,25,E 270,True,False,False
656,25,E 280,True,False,False
657,25,E 290,True,False,False
658,25,E 300,True,False,False
659,25,E 320,True,False,False
660,25,E 350,True,False,False
644,25,E 36 AMG,True,False,False
661,25,E 400,True,False,False
662,25,E 420,True,False,False
663,25,E 430,True,False,False
2368,25,E 450,True,False,False
645,25,E 50,True,False,False
664,25,E 500,True,False,False
646,25,E 55,True,False,False
2081,25,E 550,True,False,False
647,25,E 60 AMG,True,False,False
648,25,E 63 AMG,True,False,False
13037,25,E43 AMG,True,False,False
17993,25,E53 AMG,True,False,False
6013,25,Econic,False,False,True
7496,25,EQA 250,True,False,False
7492,25,EQB 350,True,False,False
7476,25,EQC 400,True,False,False
7488,25,EQE 350,True,False,False
12434,25,EQE 53,True,False,False
13299,25,EQE SUV 350,True,False,False
7484,25,EQS 450+,True,False,False
8729,25,EQS SUV,True,False,False
7480,25,EQV 300,True,False,False
666,25,G 230,True,False,False
667,25,G 240,True,False,False
668,25,G 250,True,False,False
669,25,G 270,True,False,False
670,25,G 280,True,False,False
671,25,G 290,True,False,False
672,25,G 300,True,False,False
673,25,G 320,True,False,False
674,25,G 350,True,False,False
675,25,G 400,True,False,False
18837,25,G 450  ,True,False,False
676,25,G 500,True,False,False
